Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
39,13,25,3,0.2,2,0,0,0,1,0,0
54,29,62,4,3.8,2,149,0,0,1,0,0
32,6,120,4,5.4,1,301,0,1,1,1,1
41,16,69,1,0.1,2,0,0,0,1,0,0
50,24,32,4,1.8,1,109,0,0,1,0,0
62,38,149,1,4.7,1,0,0,0,1,0,0
34,9,31,4,1.1,3,0,0,0,1,1,0
55,28,21,1,0.5,2,0,1,0,0,1,0
32,6,38,1,0.3,1,0,1,1,1,0,0
47,23,38,2,2.1,3,0,0,0,0,0,0
37,11,89,1,1.5,3,0,0,0,1,0,0
27,1,25,4,0.3,2,0,0,0,1,1,0
61,36,21,4,0.4,2,123,0,0,0,0,0
50,24,40,4,2.6,1,89,0,0,1,0,0
58,33,122,4,0.2,2,0,0,1,1,0,1
62,36,69,2,1.7,3,0,0,0,1,0,0
42,18,41,1,1.8,1,94,0,0,1,0,0
36,12,73,4,2,3,188,0,0,1,0,0
64,38,29,3,0.7,2,0,0,0,1,0,0
39,15,11,1,1,1,0,0,0,0,0,0
44,19,78,2,3.8,3,268,0,0,0,0,0
37,13,61,3,2.8,1,0,0,0,0,0,0
38,12,89,4,1.4,2,0,0,0,0,0,0
32,6,83,4,2.2,2,0,0,0,0,0,0
46,21,71,4,1.9,3,0,0,0,0,0,0
57,32,22,3,0.1,2,0,0,0,1,0,0
49,25,13,3,0.4,1,106,0,0,1,0,0
31,1,51,2,1.75,3,0,0,0,0,0,0
67,42,32,1,1.1,3,0,0,0,0,1,0
34,10,155,2,6.5,1,0,0,0,1,1,0
60,34,43,1,1.4,1,0,0,0,1,1,0
28,4,83,3,0.8,1,0,0,0,1,1,0
30,6,193,3,6.3,3,0,0,0,1,0,1
64,40,91,2,0,3,0,0,0,1,1,0
55,31,81,3,2.67,1,0,0,0,1,0,0
41,17,139,2,8,1,0,0,0,1,0,0
57,32,63,4,0.7,1,0,0,0,1,0,0
61,36,18,1,1.3,1,0,0,0,0,0,0
38,8,71,4,1.8,3,0,0,0,1,0,0
46,20,74,4,2.6,3,0,0,0,1,0,0
48,22,80,2,2.4,2,0,0,0,1,0,0
45,20,42,1,0.3,3,0,0,0,1,0,0
34,9,191,1,4.8,3,0,0,1,1,1,1
33,7,115,1,2.7,2,283,0,0,1,0,0
27,0,40,1,2,2,110,0,0,0,1,0
60,34,114,2,6.9,1,0,0,0,1,0,0
46,21,34,1,0.1,1,124,0,0,1,0,0
62,38,83,1,1.8,3,0,0,0,1,0,0
35,10,128,1,3.8,1,0,0,0,1,0,0
27,3,59,4,1.6,1,0,0,0,1,0,0
31,6,64,2,0.1,1,0,0,0,1,1,0
35,9,33,2,0.3,1,0,1,0,1,0,0
58,28,75,1,1.4,3,0,0,0,1,0,0
48,24,14,3,0.4,1,0,0,0,1,0,0
42,18,120,2,7.5,1,0,1,0,0,0,0
52,25,43,3,1,2,165,0,1,1,1,0
58,32,128,2,2.7,1,344,0,0,0,0,0
60,36,41,4,1.3,1,174,0,0,1,1,0
56,31,39,4,0.9,1,0,0,0,0,0,0
44,17,70,3,2.67,2,0,0,0,0,0,0
60,36,129,2,6,1,0,0,0,0,0,0
47,22,114,1,0.6,1,0,1,1,1,1,0
56,30,75,1,1.9,2,125,0,0,1,0,0
34,10,84,4,0.1,2,0,0,0,1,0,0
49,25,31,1,1,1,0,1,0,1,0,0
57,32,42,3,0.5,2,0,1,0,1,0,0
42,17,95,3,0.5,3,0,0,0,0,0,0
64,39,24,4,0.6,2,0,0,0,0,0,0
55,29,172,1,5.2,2,0,0,0,0,0,1
59,33,42,1,0.8,2,0,0,0,1,0,0
65,40,64,2,1.5,1,0,0,0,0,1,0
35,11,58,3,2.8,1,0,0,0,1,0,0
52,26,114,2,2.4,2,0,0,0,0,0,0
50,26,23,1,0.3,1,0,0,0,0,0,0
50,25,84,1,1.3,3,0,1,0,1,0,0
28,3,53,2,1.6,3,0,0,0,0,0,0
65,41,55,2,1.1,1,0,0,0,0,0,0
38,13,113,4,1.7,2,0,0,0,0,1,1
64,40,63,4,1.2,2,0,0,0,1,0,0
58,32,72,3,0.3,2,0,0,0,1,0,0
29,5,133,1,5.4,1,212,0,0,1,0,0
42,18,54,1,1.8,1,0,0,0,1,0,0
37,11,75,3,0.9,2,0,0,0,1,0,0
47,23,75,1,2.6,2,0,0,0,0,1,0
38,13,129,4,4.4,1,140,0,0,0,0,1
57,31,131,3,0.6,1,0,0,0,1,0,1
39,14,31,2,1.4,2,94,0,0,1,1,0
60,35,135,3,0.3,3,0,0,0,1,0,1
51,25,181,1,3.3,3,589,1,1,1,0,1
34,10,90,2,2.7,1,0,0,0,1,0,0
38,14,74,1,3.6,2,0,0,0,1,1,0
62,36,19,2,0.2,3,0,0,0,1,1,0
27,1,42,3,2.4,2,0,0,0,0,0,0
28,3,90,2,3.3,1,0,0,0,1,1,0
64,39,113,1,0.8,3,0,0,0,0,1,0
53,28,30,4,0.2,2,0,0,0,1,0,0
31,7,38,1,1.8,2,182,0,1,1,1,0
50,24,81,2,0.4,3,0,0,0,0,0,0
53,27,92,2,1.1,1,0,1,0,0,0,0
58,33,23,3,0.2,1,0,0,0,0,0,0
47,23,199,2,6.67,1,0,0,0,1,0,0
40,16,104,2,1.8,2,0,0,0,0,0,0
56,26,38,3,1,3,110,1,0,1,0,0
58,33,142,2,3.9,1,193,0,0,1,1,0
44,20,72,3,0.3,3,0,0,0,1,0,0
57,31,38,4,0.7,2,0,0,0,1,0,0
25,0,65,4,0.2,1,0,1,0,0,0,0
44,18,21,1,0.2,1,0,0,0,1,0,0
44,20,182,2,7.6,1,0,0,0,0,0,0
36,12,65,3,2.6,2,0,0,0,1,0,0
26,1,61,4,2.2,1,119,0,0,0,0,0
63,38,15,4,0.6,2,83,0,0,0,0,0
60,34,22,3,0.3,3,139,0,0,1,1,0
65,40,114,4,3.4,2,0,0,0,0,1,0
52,26,109,1,2.4,1,308,0,1,1,1,0
31,5,90,2,1.3,1,0,1,0,1,0,0
56,31,13,4,0.9,2,76,0,1,1,1,0
55,25,44,3,1,3,0,0,0,1,0,0
52,28,44,3,1.9,2,0,0,0,0,1,0
60,35,80,3,0.5,1,0,0,0,1,0,0
57,32,60,3,1.7,1,0,1,1,1,1,0
61,36,188,1,9.3,2,0,0,0,0,0,1
65,39,160,4,3.8,1,237,0,0,1,0,1
48,23,43,3,1.7,2,159,0,0,1,0,0
40,14,54,2,0.7,1,0,0,0,0,0,0
46,21,52,3,2.7,2,228,0,0,0,1,0
50,26,128,2,0.4,1,0,0,0,1,0,0
43,17,125,4,3.5,2,0,0,0,0,0,1
30,6,29,1,0.2,3,90,0,0,1,0,0
31,7,43,1,2.1,3,166,0,0,0,1,0
60,34,38,3,2.2,3,0,1,0,0,0,0
64,39,49,2,1.5,1,0,1,0,1,0,0
48,24,25,4,0.5,2,0,0,0,0,0,0
50,23,98,3,2,2,0,0,0,0,0,0
58,33,51,2,1.9,2,0,0,0,0,0,0
26,1,8,2,0.9,3,0,0,0,0,1,0
39,15,28,1,1.4,3,118,0,0,1,1,0
55,30,99,1,0.1,3,0,0,0,0,0,0
27,3,69,3,0.7,2,0,0,0,1,1,0
39,15,82,1,0.8,2,0,0,0,1,0,0
25,1,49,4,1.6,1,0,1,0,0,0,0
23,-2,82,2,1.8,2,0,1,0,0,1,0
44,20,81,4,2,3,277,0,0,1,0,0
47,23,32,1,1,1,0,1,1,1,1,0
29,5,135,3,5.3,1,0,0,1,1,1,1
48,22,128,1,5.7,1,0,1,0,0,0,0
36,10,172,4,1,2,295,0,0,1,0,1
30,4,50,1,1.5,1,0,0,0,0,0,0
41,16,21,2,0.1,2,0,0,0,0,0,0
43,17,32,3,0.5,2,0,0,0,1,0,0
45,20,89,4,1.9,3,0,0,0,1,0,0
62,38,78,2,0,3,0,0,0,1,0,0
33,9,14,3,0.9,3,114,0,0,0,0,0
48,22,80,3,1.1,1,0,0,0,0,0,0
56,31,28,1,1.5,2,0,1,1,1,1,0
33,7,15,1,0.4,2,82,1,1,1,1,0
65,39,22,3,0.7,2,0,0,0,0,0,0
30,5,69,1,0.8,2,0,0,0,1,0,0
26,2,95,3,0.8,1,0,0,0,1,0,0
58,32,28,2,0.3,1,148,0,0,0,0,0
63,33,41,4,1.67,3,0,0,0,1,0,0
51,27,19,1,0.2,1,0,0,0,0,0,0
33,7,25,4,1,1,0,0,0,1,1,0
30,6,83,4,3.4,1,0,1,0,1,0,0
50,24,79,1,0.3,1,120,0,0,1,0,0
28,4,82,4,0,1,0,0,0,1,1,0
47,21,24,2,0.1,3,0,0,0,0,1,0
50,24,44,4,1.8,1,0,0,0,1,1,0
33,8,39,3,2.3,1,0,0,0,0,0,0
29,4,102,2,3.3,1,303,0,0,0,0,0
32,7,112,1,4.6,1,366,0,0,0,0,0
53,29,24,4,0.2,1,0,0,0,1,1,0
45,21,85,2,3.2,1,0,1,0,1,0,0
30,6,101,2,0.6,1,0,0,0,1,0,0
36,11,98,3,1.2,3,0,1,0,0,1,0
58,34,41,4,0.4,1,177,0,0,1,0,0
31,5,111,2,0.2,1,0,0,0,0,0,0
56,30,122,2,0.5,1,0,0,0,0,1,0
46,22,164,2,7.6,1,0,0,1,1,1,0
35,10,38,4,1.7,1,0,0,0,1,1,0
51,25,29,1,0.3,3,140,0,0,0,0,0
46,21,82,4,0.4,1,0,0,0,0,0,0
37,11,60,2,2.8,1,181,0,0,0,1,0
59,33,63,1,1.6,1,0,0,0,1,1,0
59,33,34,2,0.3,1,0,0,0,0,0,0
43,16,44,3,1,2,0,0,0,1,0,0
26,2,172,2,6.9,2,0,0,0,1,0,1
50,25,21,2,0.7,3,129,0,0,0,0,0
44,19,68,1,3.7,3,0,0,0,1,0,0
52,27,65,1,1.2,1,0,0,0,1,1,0
44,19,69,4,0.4,1,0,0,0,0,0,0
34,9,70,4,1.3,1,0,1,0,0,0,0
47,21,38,3,0.6,2,0,1,0,0,0,0
51,24,85,3,2,2,0,0,0,0,0,0
37,11,69,3,2.1,1,0,1,0,0,0,0
44,19,62,3,0.8,3,0,0,0,0,1,0
33,7,84,1,2.9,3,0,0,0,1,0,0
60,35,33,2,0.5,2,0,0,0,1,0,0
28,4,33,3,1,2,0,0,0,0,1,0
53,29,141,2,0.2,3,0,0,0,0,0,1
39,14,104,1,4,3,0,0,1,1,1,0
25,0,30,2,1.7,2,0,0,0,0,0,0
64,39,73,3,2.4,1,0,0,0,1,0,0
63,39,72,3,2,3,190,1,0,1,0,0
37,11,81,1,2.8,3,145,0,0,0,0,0
30,4,39,1,1.5,1,0,0,0,0,1,0
26,1,80,1,0.8,2,150,0,0,0,0,0
32,8,78,4,0.1,2,0,0,0,1,0,0
54,30,145,2,6.8,1,0,1,0,0,0,0
48,24,71,2,1.7,1,145,0,0,0,1,0
41,17,160,2,8,1,0,0,0,1,0,0
56,32,80,3,2.67,1,0,0,0,1,0,0
58,34,30,3,0.4,2,0,0,0,0,0,0
30,6,115,4,3.8,2,0,0,0,1,0,1
42,17,91,1,0.1,2,199,0,0,1,1,0
46,20,85,2,0.4,3,0,0,0,0,0,0
61,35,40,1,0.8,2,128,0,0,1,0,0
56,26,92,2,4.5,3,0,1,0,0,1,0
42,15,41,3,2.5,2,0,0,0,1,0,0
36,10,179,3,6.6,1,0,0,0,1,0,1
44,19,82,2,0.4,1,0,0,0,1,1,0
65,39,44,1,0.5,3,0,0,0,1,1,0
60,34,33,2,0.3,1,101,0,0,1,0,0
46,22,53,2,1.7,1,109,0,0,0,0,0
43,18,122,1,7,1,0,0,0,1,1,0
32,7,44,4,0.8,1,0,0,0,1,0,0
59,34,64,4,1.7,1,0,0,0,0,0,0
58,32,43,1,2.8,2,0,0,0,1,0,0
56,26,91,1,3,3,0,0,0,1,1,0
65,35,55,4,1.67,3,89,0,0,1,1,0
41,17,93,4,0.8,1,218,0,0,0,0,0
39,14,43,3,0.7,2,153,0,0,1,0,0
63,38,31,1,1.1,3,125,0,0,1,0,0
67,43,105,4,1.7,2,0,0,0,1,0,0
40,16,83,1,0.8,2,230,1,0,1,0,0
29,-1,71,2,1.75,3,0,0,0,0,0,0
36,9,40,2,1,2,0,0,0,1,0,0
38,12,179,2,0,1,380,0,0,0,0,0
29,4,55,4,2,2,0,1,0,1,0,0
48,22,39,1,1.2,2,0,0,0,0,0,0
30,4,45,4,1.3,3,0,0,0,0,0,0
35,11,59,4,0.1,2,0,0,0,0,0,0
66,41,65,3,2.4,1,0,0,0,0,0,0
49,25,65,2,1,3,0,0,0,1,1,0
56,32,158,1,7.4,1,0,0,0,0,0,0
54,30,194,3,6,3,587,1,1,1,1,1
34,9,78,3,0.6,2,0,0,0,1,0,0
36,11,9,4,0.2,3,0,0,0,1,0,0
47,21,71,4,2.9,1,0,0,0,1,0,0
27,3,81,3,1.5,1,307,1,1,1,1,0
50,24,80,4,4.9,1,0,0,0,1,0,0
38,14,103,1,0.8,2,0,0,0,0,1,0
60,34,61,4,1.7,2,229,0,0,0,0,0
55,30,81,4,3.8,2,0,0,0,1,0,0
64,40,32,3,0.1,3,0,0,0,1,0,0
45,20,61,3,2.7,2,0,0,0,0,1,0
34,9,71,4,0.7,3,0,0,0,1,0,0
55,25,42,3,1,3,0,0,0,1,0,0
40,15,132,2,3.9,1,0,0,0,1,0,0
53,29,20,4,0.2,1,0,0,0,1,0,0
41,17,81,1,0.8,2,223,0,0,1,0,0
27,2,155,1,0.8,1,0,0,0,0,0,0
64,39,20,3,0.1,3,0,0,0,0,0,0
58,33,50,4,2.1,1,0,0,0,0,1,0
52,26,95,1,0.3,1,0,0,0,1,0,0
25,-1,69,3,0.3,3,0,0,0,1,0,0
40,15,31,1,0.6,3,0,0,0,1,0,0
52,26,28,1,0.3,3,0,0,0,1,0,0
50,24,102,2,6.3,1,0,0,0,1,0,0
63,37,42,2,0.7,3,115,0,0,1,0,0
61,37,22,1,1.2,3,0,0,0,1,0,0
50,24,133,4,1.4,2,342,0,0,0,1,1
65,39,184,1,5.4,3,176,0,1,1,1,1
54,28,80,4,2.6,3,143,0,0,0,0,0
40,14,28,2,0.8,3,0,0,0,0,0,0
50,25,114,1,0.6,1,0,0,0,0,1,0
52,28,9,2,0.2,1,0,0,0,0,0,0
33,9,183,2,8.8,3,582,0,0,1,0,1
29,2,31,4,1.5,2,0,0,0,0,1,0
39,13,25,4,1.5,3,0,0,0,1,0,0
32,7,134,2,3.1,1,0,0,0,0,0,0
32,6,13,4,0.3,1,0,1,1,1,1,0
55,28,39,3,1,2,0,0,0,1,1,0
33,7,51,4,2.1,3,0,0,0,0,1,0
49,23,33,1,0.3,3,0,0,1,1,1,0
51,25,99,2,2.4,2,0,0,0,0,0,0
43,18,89,1,0.1,2,307,0,0,0,1,0
34,8,10,1,0.4,2,0,0,0,1,0,0
47,21,79,3,1.1,1,185,0,0,1,1,0
28,4,199,1,6.33,1,0,0,0,0,0,0
64,39,24,4,0.4,2,78,0,0,1,0,0
44,20,33,4,0.3,1,142,0,0,0,1,0
50,25,14,4,0.8,1,0,0,0,1,0,0
51,26,11,2,0,1,0,1,0,0,0,0
52,27,30,2,0.7,2,0,0,0,1,1,0
55,31,74,2,3.2,3,0,0,0,1,1,0
44,20,81,4,0.8,1,228,0,0,0,1,0
47,21,32,3,1.5,1,75,0,0,1,0,0
29,3,84,1,2.9,3,0,0,0,1,0,0
54,30,23,2,0.4,1,0,0,0,0,0,0
61,36,12,4,0.6,2,0,0,0,1,1,0
52,26,84,3,3,2,0,0,0,1,0,0
62,37,15,3,0.1,3,91,0,0,0,0,0
49,22,103,3,2,2,167,0,0,0,0,0
25,1,118,1,5.4,1,0,0,0,1,1,0
38,13,19,2,1.4,2,120,0,0,0,1,0
63,38,41,2,1.5,1,173,0,0,1,1,0
32,7,83,1,2.6,2,0,1,0,0,1,0
41,15,55,1,2.8,1,0,0,0,0,0,0
45,19,60,1,0.7,3,159,0,0,1,0,0
52,27,23,1,0.4,3,0,0,0,0,0,0
30,4,51,4,0.2,1,172,0,0,0,1,0
32,8,60,1,1.2,1,0,0,0,1,1,0
51,25,33,1,1.4,3,0,0,0,1,1,0
42,17,90,1,0.1,2,0,0,0,0,1,0
56,30,81,4,2.6,3,0,0,0,1,0,0
55,30,39,2,1.9,2,0,0,0,0,0,0
38,12,52,2,2.4,2,147,0,0,0,0,0
46,21,44,1,0.3,1,110,1,0,1,0,0
38,14,74,2,0,1,0,1,0,1,0,0
41,16,25,2,0.1,2,0,0,0,0,1,0
26,1,55,3,2.6,3,113,0,0,0,1,0
63,37,109,1,2,1,0,0,0,1,0,0
47,22,124,4,5,3,0,0,0,0,0,1
60,34,64,3,2.2,3,0,0,0,0,0,0
49,23,19,4,0.6,3,0,0,0,1,1,0
47,22,203,2,8.8,1,0,0,0,1,0,0
46,20,158,1,2.4,1,0,0,0,1,1,0
61,37,141,3,0.7,1,0,0,1,1,1,1
32,8,70,3,1.5,1,0,0,0,1,0,0
45,20,55,4,1.9,3,164,1,0,0,0,0
39,14,178,1,4.1,1,207,0,0,1,0,0
62,36,81,3,4.4,1,0,0,0,0,1,0
64,38,40,2,1,3,0,0,0,0,0,0
46,21,159,3,1.9,3,315,0,0,1,0,1
55,29,81,3,1.7,2,171,0,0,1,0,0
34,8,82,2,1.8,1,178,0,0,1,1,0
58,34,48,4,1.3,2,0,0,0,1,1,0
57,32,13,4,0.9,2,78,1,0,1,0,0
53,28,173,4,2.7,1,427,0,0,1,0,1
55,29,53,1,1.4,1,0,0,0,0,0,0
48,23,29,1,1.3,2,0,0,0,0,0,0
27,0,33,4,1,3,0,0,0,0,0,0
61,37,61,3,2,3,0,0,0,1,0,0
58,33,43,2,1.6,3,0,0,0,1,0,0
50,26,22,4,0.5,2,112,0,0,1,0,0
41,17,42,4,2.2,2,185,1,0,1,0,0
48,23,30,3,1.7,2,162,0,0,1,0,0
43,17,82,1,5.2,1,79,0,0,1,0,0
62,37,9,1,0.1,1,94,0,0,0,0,0
29,3,39,4,2.1,3,0,0,0,1,0,0
65,41,40,3,0.1,3,0,0,0,1,0,0
34,10,45,1,1.7,1,84,0,0,0,0,0
58,33,28,2,0.5,2,146,1,0,1,0,0
52,26,59,2,1.5,2,239,0,0,0,1,0
42,18,115,1,0.3,1,0,0,0,0,0,0
37,11,43,4,1.2,2,0,1,0,0,0,0
25,-1,112,2,2,1,241,0,0,1,0,0
48,22,14,2,0.1,3,0,0,0,1,0,0
29,4,50,4,1.7,2,0,0,0,1,0,0
40,15,52,3,0.8,3,113,0,0,1,0,0
36,12,10,4,0.7,2,81,0,0,0,0,0
48,23,35,1,0.1,1,0,1,0,1,0,0
41,16,91,3,0.5,3,0,0,0,0,0,0
58,32,41,1,0.2,1,81,0,0,1,0,0
47,22,53,4,1.9,3,98,1,1,0,1,0
40,14,92,4,1.4,2,0,0,0,1,0,0
52,27,184,1,8.1,1,0,0,0,0,0,0
28,-2,48,2,1.75,3,89,0,0,1,0,0
61,35,28,2,0.2,3,135,0,0,1,0,0
57,31,113,4,0.6,3,327,0,0,1,0,1
49,23,84,3,2.1,1,134,1,0,1,0,0
46,20,18,1,0.2,1,0,0,0,1,1,0
53,27,60,1,0.2,1,0,0,0,1,0,0
44,18,162,4,1.3,1,301,0,0,0,0,1
27,2,78,4,0.2,1,87,0,0,0,0,0
61,35,79,2,2,1,194,0,0,1,1,0
59,35,38,1,0.8,1,0,0,0,1,0,0
51,25,15,4,0.6,3,0,0,0,0,1,0
56,31,25,3,0.1,2,0,0,0,0,0,0
50,26,39,3,1.9,2,0,0,0,1,0,0
60,34,11,4,0.7,3,0,0,0,1,0,0
40,16,29,1,2,2,0,0,0,1,0,0
32,7,143,3,2.9,3,0,0,0,1,0,1
46,20,72,2,0.8,3,0,0,0,1,1,0
28,4,88,1,5.4,1,0,0,0,1,0,0
55,29,30,4,0.7,2,0,0,0,0,1,0
56,31,61,2,1.9,2,105,0,0,0,0,0
28,4,103,2,2.5,1,0,0,0,1,1,0
38,14,58,4,2,3,153,1,0,0,0,0
57,31,30,2,0.7,2,145,0,0,0,0,0
58,34,54,4,1.3,2,0,0,0,1,0,0
44,20,175,2,1.4,1,0,0,0,1,1,0
49,25,24,1,0.3,1,0,0,0,0,0,0
35,11,21,2,1,2,0,0,0,0,0,0
65,39,121,1,2,1,0,0,0,0,0,0
37,13,95,2,1.7,2,83,0,0,0,0,0
59,35,31,3,0.4,2,0,0,0,1,0,0
58,33,53,4,2.1,1,0,0,0,1,0,0
52,26,161,4,4.3,1,0,0,1,1,1,1
63,33,52,4,1.67,3,0,0,0,0,0,0
40,16,64,4,2.67,1,0,1,0,1,0,0
60,36,93,1,4.3,1,0,0,0,1,0,0
36,11,133,1,3.8,1,290,1,1,1,1,0
33,8,162,1,8.6,1,0,0,1,1,1,0
64,38,39,1,0.5,3,0,1,1,1,1,0
55,29,78,1,0.8,3,190,0,0,1,0,0
33,9,131,3,2.2,3,0,1,0,0,0,1
47,22,19,1,0.4,3,0,0,0,1,0,0
35,9,45,1,2,1,0,0,0,1,1,0
61,35,91,2,2,1,0,0,0,1,0,0
57,31,131,2,2.7,1,394,0,0,0,1,0
52,28,163,2,0.4,1,116,0,0,1,0,0
28,2,63,2,1.6,3,0,0,0,1,0,0
30,6,62,1,0.1,1,0,0,0,1,1,0
33,7,32,1,0.6,3,166,0,0,1,0,0
34,10,41,1,1.33,1,0,0,0,0,1,0
52,27,113,1,0.1,3,0,0,0,0,0,0
53,28,43,2,2.1,3,0,0,1,1,1,0
32,7,108,1,4.6,1,0,1,0,0,0,0
58,34,84,2,2.8,1,0,0,0,1,1,0
56,32,83,4,1.6,2,0,0,0,0,0,0
55,29,112,2,1.4,1,0,0,0,1,0,0
